Original Rank,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Original Global_Sales,Global_Sales,Record Type,Year Source
4618,4641,Mobile Suit Gundam: Gundam vs. Gundam,PSP,2008,Fighting,Namco Bandai Games,0,0,0.42,0,0.42,0.42,Original Data,Original Data
4548,4642,Monopoly,PS2,2008,Misc,Electronic Arts,0.21,0.16,0,0.05,0.43,0.42,Original Data,Original Data
4569,4643,Neon Genesis Evangelion 2nd Impression,SAT,1997,Role-Playing,Sega,0,0,0.42,0,0.42,0.42,Original Data,Original Data
4579,4644,NHL 2K6,PS2,2005,Sports,Take-Two Interactive,0.21,0.16,0,0.05,0.42,0.42,Original Data,Original Data
4683,4645,Scooby-Doo and the Cyber Chase,GBA,2001,Adventure,Ubisoft,0.3,0.11,0,0.01,0.41,0.42,Original Data,Original Data
4565,4646,SEGA Classics Collection,PS2,2005,Misc,Sega,0.21,0.16,0,0.05,0.43,0.42,Original Data,Original Data
4715,4647,Six Flags Fun Park,Wii,2009,Misc,Ubisoft,0.28,0.1,0,0.04,0.41,0.42,Original Data,Original Data
4564,4648,Skylanders: Trap Team,PS4,2014,Action,Activision,0.18,0.17,0,0.07,0.43,0.42,Original Data,Original Data
4657,4649,Star Wars The Clone Wars: Republic Heroes,PSP,2009,Action,LucasArts,0.21,0.13,0,0.08,0.42,0.42,Original Data,Original Data
4611,4650,Star Wars Trilogy: Apprentice of the Force,GBA,2004,Action,Ubisoft,0.3,0.11,0,0.01,0.42,0.42,Original Data,Original Data
4636,4651,Super Famista 4,SNES,1995,Sports,Namco Bandai Games,0,0,0.42,0,0.42,0.42,Original Data,Original Data
4585,4652,Super Wagyan Land,SNES,1991,Action,Namco Bandai Games,0,0,0.42,0,0.42,0.42,Original Data,Original Data
4607,4653,Superman: Shadow of Apokolips,PS2,2002,Action,Atari,0.21,0.16,0,0.05,0.42,0.42,Original Data,Original Data
2431,2417,FIFA Soccer 08,DS,2007,Sports,Electronic Arts,0.1,0.65,0,0.11,0.85,0.86,Original Data,Original Data
4619,4655,Test Drive,XB,2002,Racing,Atari,0.35,0.05,0,0.02,0.42,0.42,Original Data,Original Data
4622,4656,The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,PS2,2003,Action,THQ,0.21,0.16,0,0.05,0.42,0.42,Original Data,Original Data
4637,4657,The Fairly Odd Parents: Game Boy Advance Video Volume 2,GBA,2004,Misc,N/A,0.3,0.11,0,0.01,0.42,0.42,Original Data,Original Data
4575,4658,The Legend of Spyro: The Eternal Night,PS2,2007,Platform,Vivendi Games,0.21,0.16,0,0.05,0.42,0.42,Original Data,Original Data
2442,2440,Harry Potter and the Order of the Phoenix,DS,2007,Action,Electronic Arts,0.28,0.47,0,0.1,0.85,0.85,Original Data,Original Data
4589,4660,Top Spin 4,X360,2011,Sports,Take-Two Interactive,0.15,0.23,0,0.04,0.42,0.42,Original Data,Original Data
4557,4661,TRON: Evolution,PS3,2010,Action,Disney Interactive Studios,0.27,0.1,0,0.05,0.43,0.42,Original Data,Original Data
4630,4662,Wolfenstein: The Old Blood,PS4,2015,Action,Bethesda Softworks,0.09,0.25,0.02,0.06,0.42,0.42,Original Data,Original Data
4604,4663,Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005,GBA,2005,Misc,Konami Digital Entertainment,0.3,0.11,0,0.01,0.42,0.42,Original Data,Original Data
4655,4664,Zack & Wiki: Quest for Barbaros' Treasure,Wii,2007,Adventure,Nintendo,0.18,0.17,0.03,0.04,0.42,0.42,Original Data,Original Data
4677,4665,Zone of the Enders: The 2nd Runner,PS2,2003,Simulation,Konami Digital Entertainment,0.15,0.12,0.11,0.04,0.41,0.42,Original Data,Original Data
4652,4666,International Superstar Soccer Pro '98,PS,1998,Sports,Konami Digital Entertainment,0.02,0.02,0.35,0.03,0.42,0.42,Original Data,Original Data
4712,4667,300: March to Glory,PSP,2007,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0,0.06,0.41,0.41,Original Data,Original Data
4736,4668,Armored Core,PS,1997,Simulation,Sony Computer Entertainment,0.13,0.09,0.16,0.03,0.41,0.41,Original Data,Original Data
4749,4669,Armored Core 2: Another Age,PS2,2001,Simulation,Metro 3D,0.11,0.08,0.19,0.03,0.41,0.41,Original Data,Original Data
4627,4670,Army Men: Sarge's Heroes 2,N64,2000,Shooter,3DO,0.34,0.07,0,0,0.42,0.41,Original Data,Original Data
4745,4671,Band Hero,PS2,2009,Misc,Activision,0.15,0.06,0,0.2,0.41,0.41,Original Data,Original Data
4748,4672,Battlefield 2: Modern Combat,X360,2006,Shooter,Electronic Arts,0.35,0.02,0.01,0.03,0.41,0.41,Original Data,Original Data
4654,4673,Black,XB,2006,Shooter,Electronic Arts,0.31,0.09,0,0.01,0.42,0.41,Original Data,Original Data
4692,4674,Cars: Mater-National Championship,PS3,2007,Racing,THQ,0.37,0.01,0,0.03,0.41,0.41,Original Data,Original Data
4690,4675,Crash of the Titans,PS2,2007,Action,Vivendi Games,0.34,0.01,0,0.06,0.41,0.41,Original Data,Original Data
4740,4676,Densha De Go! 2,PS,1999,Simulation,Taito,0,0,0.38,0.03,0.41,0.41,Original Data,Original Data
4700,4677,Destiny: The Taken King,PS3,2015,Shooter,Activision,0.16,0.17,0.02,0.06,0.41,0.41,Original Data,Original Data
4783,4678,Disney Sing It! High School Musical 3: Senior Year,PS3,2008,Misc,Disney Interactive Studios,0.08,0.26,0,0.07,0.4,0.41,Original Data,Original Data
4780,4679,Disney's Hercules / Disney's The Jungle Book: Groove Party / A Bug's Life,PS,2003,Misc,Sony Computer Entertainment,0.23,0.15,0,0.03,0.4,0.41,Original Data,Original Data
4656,4680,Double Pack: Finding Nemo / The Incredibles,XB,2006,Action,THQ,0.31,0.09,0,0.01,0.42,0.41,Original Data,Original Data
4625,4681,Dr. Mario 64,N64,2001,Puzzle,Nintendo,0.34,0.07,0,0,0.42,0.41,Original Data,Original Data
4768,4682,"Ed, Edd n Eddy: The Mis-Edventures",PS2,2005,Platform,Midway Games,0.34,0.01,0,0.06,0.41,0.41,Original Data,Original Data
4726,4683,Fantastic Pets,X360,2011,Simulation,THQ,0.3,0.08,0,0.03,0.41,0.41,Original Data,Original Data
4820,4684,Final Fantasy Crystal Chronicles: The Crystal Bearers,Wii,2009,Action,Square Enix,0.22,0.08,0.08,0.03,0.4,0.41,Original Data,Original Data
4774,4685,From Russia With Love,PS2,2005,Action,Electronic Arts,0.34,0.01,0,0.06,0.41,0.41,Original Data,Original Data
4640,4686,Harry Potter and the Goblet of Fire,GC,2005,Action,Electronic Arts,0.32,0.08,0,0.01,0.42,0.41,Original Data,Original Data
4628,4687,James Bond 007: Everything or Nothing,GC,2004,Shooter,Electronic Arts,0.32,0.08,0,0.01,0.42,0.41,Original Data,Original Data
4763,4688,Just Dance Kids 2,X360,2011,Misc,Ubisoft,0.29,0.09,0,0.03,0.41,0.41,Original Data,Original Data
4773,4689,Knockout Kings 2001,PS,2000,Fighting,Electronic Arts,0.23,0.15,0,0.03,0.41,0.41,Original Data,Original Data
4648,4690,Kumamon Bomber: Puzzle de Kumamon Taisou,GC,2005,Puzzle,Sega,0.32,0.08,0,0.01,0.42,0.41,Original Data,Original Data
4719,4691,LEGO Jurassic World,PSV,2015,Action,Warner Bros. Interactive Entertainment,0.09,0.23,0,0.09,0.41,0.41,Original Data,Original Data
4761,4692,Littlest Pet Shop,Wii,2008,Simulation,Electronic Arts,0.34,0.04,0,0.03,0.41,0.41,Original Data,Original Data
4664,4693,Lord of the Rings: The Third Age,XB,2004,Role-Playing,Electronic Arts,0.31,0.09,0,0.01,0.42,0.41,Original Data,Original Data
4752,4694,Marvel: Ultimate Alliance,Wii,2006,Role-Playing,Activision,0.37,0.01,0,0.03,0.41,0.41,Original Data,Original Data
4766,4695,Marvel: Ultimate Alliance 2,PS2,2009,Role-Playing,Activision,0.23,0.02,0,0.16,0.41,0.41,Original Data,Original Data
4702,4696,Mass Effect Trilogy,X360,2012,Action,Electronic Arts,0.28,0.1,0,0.03,0.41,0.41,Original Data,Original Data
4634,4697,Mega Man Anniversary Collection,GC,2004,Platform,Capcom,0.32,0.08,0,0.01,0.42,0.41,Original Data,Original Data
4737,4698,Monster Trucks Mayhem,Wii,2009,Racing,Zoo Games,0.39,0,0,0.02,0.41,0.41,Original Data,Original Data
2500,2483,I Spy: Fun House,DS,2007,Puzzle,Scholastic Inc.,0.77,0,0,0.06,0.83,0.83,Original Data,Original Data
4753,4700,NBA 2K11,PS2,2010,Action,Take-Two Interactive,0.34,0.01,0,0.06,0.41,0.41,Original Data,Original Data
4757,4701,NBA 2K9,PS2,2008,Sports,Take-Two Interactive,0.34,0.01,0,0.06,0.41,0.41,Original Data,Original Data
4624,4702,NFL Blitz 2001,N64,2000,Sports,Midway Games,0.34,0.07,0,0,0.42,0.41,Original Data,Original Data
4781,4703,NFL GameDay 2002,PS,2001,Sports,Sony Computer Entertainment,0.23,0.15,0,0.03,0.4,0.41,Original Data,Original Data
4714,4704,Nicktoons: Unite!,PS2,2005,Adventure,THQ,0.34,0.01,0,0.06,0.41,0.41,Original Data,Original Data
4789,4705,Overlord,X360,2007,Strategy,Codemasters,0.34,0.03,0.01,0.03,0.4,0.41,Original Data,Original Data
4812,4706,Pet in TV,PS,1997,Strategy,Sony Computer Entertainment,0,0,0.38,0.03,0.4,0.41,Original Data,Original Data
4755,4707,Pro Pinball,PS,1996,Misc,Empire Interactive,0.23,0.15,0,0.03,0.41,0.41,Original Data,Original Data
"11190, 5557",4708,Samurai Warriors 2: Xtreme Legends,PS2,2007,Action,Tecmo Koei,0.04,0.03,0.33,0.01,"0.09, 0.33",0.41,New Merged Record,Original Data
4792,4709,Sega Superstars Tennis,PS3,2008,Sports,Sega,0.13,0.2,0,0.08,0.4,0.41,Original Data,Original Data
4759,4710,Speed Racer: The Videogame,Wii,2008,Racing,Warner Bros. Interactive Entertainment,0.36,0.02,0,0.03,0.41,0.41,Original Data,Original Data
4722,4711,Spider-Man: Web of Shadows,X360,2008,Action,Activision,0.36,0.02,0,0.03,0.41,0.41,Original Data,Original Data
2586,2570,Rayman Raving Rabbids 2,DS,2007,Misc,Ubisoft,0.73,0.01,0,0.06,0.8,0.8,Original Data,Original Data
4746,4713,The Wonderful 101,WiiU,2013,Action,Nintendo,0.2,0.1,0.08,0.03,0.41,0.41,Original Data,Original Data
4675,4714,TimeShift,X360,2007,Shooter,Vivendi Games,0.36,0.02,0,0.03,0.41,0.41,Original Data,Original Data
4695,4715,Tom Clancy's Rainbow Six: Lockdown,XB,2005,Shooter,Ubisoft,0.26,0.13,0,0.02,0.41,0.41,Original Data,Original Data
4703,4716,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PSP,2009,Shooter,Activision,0.17,0.15,0,0.09,0.41,0.41,Original Data,Original Data
4732,4717,UEFA Euro 2008 Austria-Switzerland,PS3,2008,Sports,Electronic Arts,0.08,0.27,0,0.06,0.41,0.41,Original Data,Original Data
4800,4718,WipeOut 3 The Game,Wii,2012,Action,Activision,0.38,0,0,0.03,0.4,0.41,Original Data,Original Data
4754,4719,AKB1/48: Idol to Koishitara...,PSP,2010,Misc,Namco Bandai Games,0,0,0.41,0,0.41,0.41,Original Data,Original Data
4776,4720,Asura's Wrath,PS3,2012,Action,Capcom,0.18,0.12,0.06,0.05,0.41,0.41,Original Data,Original Data
13538,13503,Gem Smashers,3DS,2011,Platform,Crave Entertainment,0.04,0,0,0,0.04,0.04,Original Data,Original Data
2619,2596,Drawn to Life,DS,2007,Action,THQ,0.71,0.02,0,0.06,0.79,0.79,Original Data,Original Data
4647,4723,BloodRayne,PS2,2002,Shooter,Universal Interactive,0.2,0.16,0,0.05,0.42,0.41,Original Data,Original Data
4723,4724,Boku no Natsuyasumi 2: Umi no Bouken Hen,PS2,2002,Adventure,Sony Computer Entertainment,0,0,0.41,0,0.41,0.41,Original Data,Original Data
4771,4725,Borderlands: The Handsome Collection,XOne,2015,Shooter,Take-Two Interactive,0.24,0.13,0,0.04,0.41,0.41,Original Data,Original Data
4750,4726,Buzz! Junior: Jungle Party,PS2,2006,Misc,Sony Computer Entertainment,0.2,0.16,0,0.05,0.41,0.41,Original Data,Original Data
15788,15808,Colin McRae Rally 2005,PC,2004,Racing,Codemasters,0,0.01,0,0,0.02,0.01,Original Data,Original Data
4729,4728,Dig Dug,NES,1985,Puzzle,Namco Bandai Games,0,0,0.41,0,0.41,0.41,Original Data,Original Data
4743,4729,Disney Princess: Enchanting Storybooks,Wii,2011,Misc,THQ,0.26,0.11,0,0.04,0.41,0.41,Original Data,Original Data
4770,4730,Disney's Tarzan Untamed,PS2,2001,Platform,Ubisoft,0.2,0.16,0,0.05,0.41,0.41,Original Data,Original Data
15915,15899,Evil Genius,PC,2004,Strategy,Vivendi Games,0,0.01,0,0,0.02,0.01,Original Data,Original Data
4713,4732,E0: Enemy Zero,SAT,1996,Adventure,Sega,0,0,0.41,0,0.41,0.41,Original Data,Original Data
4822,4733,EA Sports UFC 2,XOne,2016,Sports,Electronic Arts,0.23,0.14,0,0.04,0.4,0.41,Original Data,Original Data
4706,4734,Farming Simulator 2015,X360,2015,Simulation,Koch Media,0.21,0.16,0,0.04,0.41,0.41,Original Data,Original Data
4739,4735,Green Day: Rock Band,X360,2010,Misc,MTV Games,0.24,0.13,0,0.04,0.41,0.41,Original Data,Original Data
4765,4736,Hatsune Miku: Project Diva 2nd,PSP,2010,Misc,Sega,0,0,0.41,0,0.41,0.41,Original Data,Original Data
4788,4737,Hatsune Miku: Project Diva F 2nd,PSV,2014,Misc,Sega,0.13,0.06,0.16,0.06,0.4,0.41,Original Data,Original Data
4669,4738,High Rollers Casino,PS2,2004,Misc,Mud Duck Productions,0.2,0.16,0,0.05,0.42,0.41,Original Data,Original Data
2604,2598,Final Fantasy Tactics A2: Grimoire of the Rift,DS,2007,Role-Playing,Square Enix,0.42,0.03,0.3,0.04,0.79,0.79,Original Data,Original Data
4680,4740,Jampack Spring 2004 (RP-T),PS2,2003,Misc,Sony Computer Entertainment,0.2,0.16,0,0.05,0.41,0.41,Original Data,Original Data
4769,4741,Jikkyou Powerful Pro Yakuu '94,SNES,1994,Sports,Konami Digital Entertainment,0,0,0.41,0,0.41,0.41,Original Data,Original Data
4707,4742,Jimmy Neutron: Boy Genius,PS2,2002,Platform,THQ,0.2,0.16,0,0.05,0.41,0.41,Original Data,Original Data
4673,4743,Katamari Forever,PS3,2009,Puzzle,Namco Bandai Games,0.26,0.05,0.06,0.04,0.42,0.41,Original Data,Original Data
13619,13531,Hana to Ikimo no Rittai Zukan,3DS,2011,Misc,Nintendo,0,0,0.04,0,0.04,0.04,Original Data,Original Data
4767,4745,Mario no Super Picross,SNES,1995,Puzzle,Nintendo,0,0,0.41,0,0.41,0.41,Original Data,Original Data
4717,4746,Mass Effect Trilogy,PS3,2012,Action,Electronic Arts,0.37,0,0,0.04,0.41,0.41,Original Data,Original Data
4693,4747,MLB 10: The Show,PS2,2010,Sports,Sony Computer Entertainment,0.2,0.16,0,0.05,0.41,0.41,Original Data,Original Data
4701,4748,Mobile Suit Gundam,SAT,1995,Action,Namco Bandai Games,0,0,0.41,0,0.41,0.41,Original Data,Original Data
4696,4749,Mobile Suit Gundam: Gundam vs. Gundam NEXT PLUS,PSP,2009,Fighting,Namco Bandai Games,0,0,0.41,0,0.41,0.41,Original Data,Original Data
4744,4750,Monopoly Streets,PS3,2010,Misc,Electronic Arts,0.16,0.18,0,0.07,0.41,0.41,Original Data,Original Data
4720,4751,Monotaro Dentetsu 2010: Sengoku Ishin no Hero Daishuugou! no Maki,Wii,2009,Misc,Hudson Soft,0,0,0.41,0,0.41,0.41,Original Data,Original Data
4760,4752,Naughty Bear,X360,2010,Action,505 Games,0.21,0.16,0,0.04,0.41,0.41,Original Data,Original Data
4676,4753,NBA Jam,PS2,2003,Sports,Acclaim Entertainment,0.2,0.16,0,0.05,0.41,0.41,Original Data,Original Data
4682,4754,NFL GameDay 2004,PS2,2003,Sports,Sony Computer Entertainment,0.2,0.16,0,0.05,0.41,0.41,Original Data,Original Data
4850,4755,Nicktoons: Freeze Frame Frenzy,GBA,2004,Action,THQ,0.29,0.11,0,0.01,0.4,0.41,Original Data,Original Data
4730,4756,Ogre Battle 64: Person of Lordly Caliber,N64,1999,Role-Playing,Nintendo,0.1,0.02,0.25,0.04,0.41,0.41,Original Data,Original Data
4666,4757,Pirates of the Caribbean: At World's End,PS2,2007,Action,Disney Interactive Studios,0.2,0.16,0,0.05,0.42,0.41,Original Data,Original Data
4687,4758,pro evolution soccer 2011,PS2,2010,Sports,Konami Digital Entertainment,0.04,0.21,0.05,0.11,0.41,0.41,Original Data,Original Data
4842,4759,Rocket Power: Dream Scheme,GBA,2001,Action,THQ,0.29,0.11,0,0.01,0.4,0.41,Original Data,Original Data
4816,4760,Rocksmith 2014,XOne,2014,Misc,Ubisoft,0.29,0.08,0,0.04,0.4,0.41,Original Data,Original Data
4735,4761,Rogue Galaxy: Director's Cut,PS2,2007,Role-Playing,Sony Computer Entertainment,0.2,0.16,0,0.05,0.41,0.41,Original Data,Original Data
4623,4762,Rush 2: Extreme Racing USA,N64,1998,Racing,Midway Games,0.35,0.06,0,0,0.42,0.41,Original Data,Original Data
1679,1688,NFL 2K,DC,1999,Sports,Sega,1.12,0.05,0,0.02,1.2,1.19,Original Data,Original Data
2732,2711,Spectrobes,DS,2007,Role-Playing,Disney Interactive Studios,0.67,0.03,0,0.06,0.75,0.76,Original Data,Original Data
4787,4765,Super Monkey Ball: Step & Roll,Wii,2010,Action,Sega,0.17,0.2,0,0.04,0.4,0.41,Original Data,Original Data
16121,15922,Football Manager 2005,PC,2004,Sports,Sega,0,0.01,0,0,0.01,0.01,Original Data,Original Data
4772,4767,The Gunstringer,X360,2011,Shooter,Microsoft Game Studios,0.26,0.11,0,0.04,0.41,0.41,Original Data,Original Data
4811,4768,The Incredibles: Rise of the Underminer,GBA,2005,Action,THQ,0.29,0.11,0,0.01,0.4,0.41,Original Data,Original Data
4671,4769,The Suffering,PS2,2004,Action,Midway Games,0.2,0.16,0,0.05,0.42,0.41,Original Data,Original Data
4733,4770,The Terminator: Dawn of Fate,PS2,2002,Action,Atari,0.2,0.16,0,0.05,0.41,0.41,Original Data,Original Data
4642,4771,Thrillville: Off the Rails,PS2,2007,Strategy,LucasArts,0.2,0.16,0,0.05,0.42,0.41,Original Data,Original Data
4650,4772,Tom Clancy's HAWX 2,PS3,2010,Action,Ubisoft,0.21,0.12,0.03,0.05,0.42,0.41,Original Data,Original Data
16594,16119,Myst IV: Revelation,PC,2004,Adventure,Ubisoft,0.01,0,0,0,0.01,0.01,Original Data,Original Data
4741,4774,Transformers: Fall of Cybertron,PS3,2012,Action,Activision,0.19,0.15,0,0.07,0.41,0.41,Original Data,Original Data
4791,4775,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PS3,2007,Action,Activision,0.32,0.04,0.01,0.04,0.4,0.41,Original Data,Original Data
4721,4776,Up,PSP,2009,Action,THQ,0.24,0.1,0,0.07,0.41,0.41,Original Data,Original Data
4795,4777,Wall-E,PS3,2008,Platform,THQ,0.12,0.21,0,0.08,0.4,0.41,Original Data,Original Data
"6191, 9714",4778,Wild ARMs 5,PS2,2006,Role-Playing,505 Games,0.14,0.11,0.12,0.04,"0.28, 0.12",0.41,New Merged Record,Original Data
4738,4779,Winter Sports 2: The Next Challenge,Wii,2008,Sports,RTL,0.18,0.19,0,0.04,0.41,0.41,Original Data,Original Data
4704,4780,Wolfenstein: The New Order,X360,2014,Shooter,Bethesda Softworks,0.18,0.19,0,0.04,0.41,0.41,Original Data,Original Data
4663,4781,WWE All Stars,PS3,2011,Fighting,THQ,0.16,0.18,0,0.07,0.42,0.41,Original Data,Original Data
4711,4782,X-Men: The Official Game,PS2,2006,Action,Activision,0.2,0.16,0,0.05,0.41,0.41,Original Data,Original Data
2793,2768,Harvest Moon DS: Island of Happiness,DS,2007,Simulation,Rising Star Games,0.44,0.01,0.25,0.04,0.74,0.74,Original Data,Original Data
4889,4784,Dungeon Siege III,PS3,2011,Role-Playing,Square Enix,0.17,0.14,0.03,0.06,0.39,0.4,Original Data,Original Data
4802,4785,Thief (2014),PS3,2014,Action,Square Enix,0.1,0.2,0.02,0.08,0.4,0.4,Original Data,Original Data
4756,4786,98 Koshien,PS,1998,Sports,Magical Company,0.15,0.1,0.12,0.03,0.41,0.4,Original Data,Original Data
4827,4787,AKB1/48: Idol to Guam de Koishitara...,PSP,2011,Misc,Namco Bandai Games,0,0,0.4,0,0.4,0.4,Original Data,Original Data
4813,4788,Battalion Wars,GC,2005,Strategy,Nintendo,0.25,0.07,0.07,0.01,0.4,0.4,Original Data,Original Data
4785,4789,Beowulf: The Game,X360,2007,Action,Ubisoft,0.36,0.01,0,0.03,0.4,0.4,Original Data,Original Data
4895,4790,Bloody Roar,PS,1997,Fighting,Virgin Interactive,0.22,0.15,0,0.03,0.39,0.4,Original Data,Original Data
4863,4791,Boku no Natsuyasumi,PS,2000,Adventure,Sony Computer Entertainment,0,0,0.37,0.03,0.4,0.4,Original Data,Original Data
4891,4792,Brunswick Pro Bowling,Wii,2007,Sports,505 Games,0.36,0.01,0,0.03,0.39,0.4,Original Data,Original Data
4834,4793,Bugs Bunny: Lost in Time,PS,1999,Platform,Infogrames,0.22,0.15,0,0.03,0.4,0.4,Original Data,Original Data
4821,4794,Cabela's Big Game Hunter 2010,PS3,2009,Sports,Activision Value,0.37,0,0,0.03,0.4,0.4,Original Data,Original Data
4871,4795,Call of Duty: Finest Hour,GC,2004,Shooter,Activision,0.31,0.08,0,0.01,0.4,0.4,Original Data,Original Data
4866,4796,Command & Conquer,PS,1996,Strategy,Virgin Interactive,0.22,0.15,0,0.03,0.4,0.4,Original Data,Original Data
4859,4797,Condemned 2: Bloodshot,PS3,2008,Action,Sega,0.17,0.16,0,0.07,0.4,0.4,Original Data,Original Data
2795,2784,The Sims 2: Castaway,DS,2007,Simulation,Electronic Arts,0.63,0.05,0,0.06,0.73,0.74,Original Data,Original Data
4794,4799,Dragon Quest X,WiiU,2013,Role-Playing,Square Enix,0,0,0.4,0,0.4,0.4,Original Data,Original Data
15695,16338,Syberia II,PC,2004,Adventure,MC2 Entertainment,0,0.01,0,0,0.02,0.01,Original Data,Original Data
4823,4801,Fighting Vipers,SAT,1995,Fighting,Sega,0,0,0.4,0,0.4,0.4,Original Data,Original Data
4883,4802,GRID 2,PS3,2013,Racing,Codemasters,0.07,0.23,0.01,0.09,0.39,0.4,Original Data,Original Data
4805,4803,Harry Potter: Quidditch World Cup,GC,2003,Sports,Electronic Arts,0.31,0.08,0,0.01,0.4,0.4,Original Data,Original Data
2806,2815,Practise English!,DS,2007,Misc,Nintendo,0,0,0.73,0,0.73,0.73,Original Data,Original Data
4825,4805,Iron Man 2,PS3,2010,Action,Sega,0.14,0.19,0,0.07,0.4,0.4,Original Data,Original Data
4901,4806,LEGO Star Wars III: The Clone Wars,PSP,2011,Action,LucasArts,0.14,0.17,0,0.09,0.39,0.4,Original Data,Original Data
13584,13754,Riding Stables: The Whitakers present Milton and Friends,3DS,2011,Sports,DTP Entertainment,0,0.04,0,0,0.04,0.04,Original Data,Original Data
16165,16382,Tiger Woods PGA Tour 2005,PC,2004,Sports,Electronic Arts,0,0.01,0,0,0.01,0.01,Original Data,Original Data
15674,16422,Unreal Tournament 2004,PC,2004,Shooter,Atari,0,0.01,0,0,0.02,0.01,Original Data,Original Data
4796,4810,Medarot: Kabuto / Kuwagata Version,GB,1997,Role-Playing,Imagineer,0,0,0.4,0,0.4,0.4,Original Data,Original Data
2997,2939,Cars: Mater-National Championship,DS,2007,Racing,THQ,0.63,0.01,0,0.05,0.68,0.69,Original Data,Original Data
4751,4812,Mortal Kombat: Deadly Alliance,GC,2002,Fighting,Midway Games,0.31,0.08,0,0.01,0.41,0.4,Original Data,Original Data
4849,4813,Mother 3,GBA,2006,Role-Playing,Nintendo,0,0,0.39,0.01,0.4,0.4,Original Data,Original Data
1853,1847,Jungle Hunt,2600,1982,Platform,Atari,1.03,0.06,0,0.01,1.1,1.1,Original Data,Original Data
4844,4815,MX vs. ATV Unleashed,XB,2005,Racing,THQ,0.32,0.07,0,0.01,0.4,0.4,Original Data,Original Data
4857,4816,Mystery Dungeon: Shiren the Wanderer,SNES,1995,Role-Playing,ChunSoft,0,0,0.4,0,0.4,0.4,Original Data,Original Data
3010,3013,Final Fantasy Crystal Chronicles: Ring of Fates,DS,2007,Role-Playing,Square Enix,0.22,0.01,0.42,0.02,0.67,0.67,Original Data,Original Data
4894,4818,NASCAR Heat,PS,2000,Racing,Hasbro Interactive,0.22,0.15,0,0.03,0.39,0.4,Original Data,Original Data
4835,4819,NBA Jam,X360,2010,Sports,Electronic Arts,0.27,0.1,0,0.03,0.4,0.4,Original Data,Original Data
4862,4820,NBA Live 2002,XB,2001,Sports,Electronic Arts,0.35,0.03,0,0.02,0.4,0.4,Original Data,Original Data
4814,4821,NBA ShootOut 2000,PS,1999,Sports,989 Studios,0.22,0.15,0,0.03,0.4,0.4,Original Data,Original Data
4824,4822,NCAA GameBreaker 2000,PS,1999,Sports,989 Studios,0.22,0.15,0,0.03,0.4,0.4,Original Data,Original Data
4830,4823,NFL Quarterback Club 2000,N64,1999,Sports,Acclaim Entertainment,0.37,0.03,0,0,0.4,0.4,Original Data,Original Data
4818,4824,NHL 15,XOne,2014,Sports,Electronic Arts,0.31,0.06,0,0.03,0.4,0.4,Original Data,Original Data
1907,1898,Joust,2600,1982,Platform,Atari,1.01,0.06,0,0.01,1.08,1.08,Original Data,Original Data
4815,4826,Power Rangers: Dino Thunder,GC,2004,Action,THQ,0.31,0.08,0,0.01,0.4,0.4,Original Data,Original Data
4845,4827,Rampage: Total Destruction,GC,2006,Action,Midway Games,0.31,0.08,0,0.01,0.4,0.4,Original Data,Original Data
4852,4828,Rapala Pro Bass Fishing 2010,X360,2010,Sports,Activision,0.32,0.05,0,0.03,0.4,0.4,Original Data,Original Data
4848,4829,Road Rash: Jailbreak,PS,1999,Racing,Electronic Arts,0.22,0.15,0,0.03,0.4,0.4,Original Data,Original Data
4817,4830,Samurai Shodown,SNES,1994,Fighting,Takara,0,0,0.4,0,0.4,0.4,Original Data,Original Data
4870,4831,SD Gundam G Generation Seed,PS2,2004,Strategy,Namco Bandai Games,0,0,0.4,0,0.4,0.4,Original Data,Original Data
4858,4832,Sonic Lost World,WiiU,2013,Platform,Sega,0.24,0.12,0.01,0.03,0.4,0.4,Original Data,Original Data
4861,4833,Star Wars: Clone Wars,GC,2002,Shooter,Activision,0.31,0.08,0,0.01,0.4,0.4,Original Data,Original Data
13729,13914,Unchained Blades,3DS,2011,Role-Playing,FuRyu,0,0,0.04,0,0.04,0.04,Original Data,Original Data
4731,4835,Superman: The New Superman Adventures,N64,1999,Action,Titus,0.33,0.07,0,0,0.41,0.4,Original Data,Original Data
4801,4836,Taiko no Tatsujin Wii: Dodon to 2 Yome!,Wii,2009,Misc,Namco Bandai Games,0,0,0.4,0,0.4,0.4,Original Data,Original Data
4790,4837,Tak and the Power of Juju,GC,2003,Platform,THQ,0.31,0.08,0,0.01,0.4,0.4,Original Data,Original Data
4876,4838,Tales of Phantasia,SNES,1995,Role-Playing,Namco Bandai Games,0,0,0.4,0,0.4,0.4,Original Data,Original Data
4918,4839,Tear Ring Saga Yutona Eiyuu Senki,PS,2001,Role-Playing,Enterbrain,0,0,0.37,0.03,0.39,0.4,Original Data,Original Data
4826,4840,The Legend of Spyro: Dawn of the Dragon,PS2,2008,Platform,Vivendi Games,0.12,0.01,0,0.27,0.4,0.4,Original Data,Original Data
